weekly_exercise_hours,health_score,age
3.38,27.97,18.6
15.01,18.19,36.7
2.17,21.08,21.4
0.23,33.31,6.0
16.19,15.41,38.6
26.23,4.1,61.0
17.32,11.75,45.6
13.97,26.6,30.9
6.49,20.58,33.7
27.42,14.39,58.6
20.71,12.51,46.9
20.22,18.7,45.6
20.01,13.03,44.4
16.41,14.37,45.5
22.59,21.26,54.7
24.66,15.6,51.6
21.81,12.14,47.6
13.36,19.85,32.5
15.8,14.03,51.1
16.84,23.31,36.8
30.04,7.97,58.1
15.21,14.32,29.7
18.9,14.72,43.3
12.52,15.28,44.9
14.62,21.98,29.1
28.54,12.18,65.7
17.43,9.44,62.5
17.52,20.66,39.4
17.46,7.07,54.3
15.88,16.84,49.5
0.57,36.11,13.6
25.39,17.07,48.0
16.94,16.49,44.3
20.38,15.4,46.0
19.33,27.5,32.1
23.55,12.77,41.8
17.31,15.59,42.9
24.96,11.32,59.3
15.76,16.55,49.0
15.98,13.46,44.9
29.67,9.07,63.3
17.05,16.73,38.3
16.9,17.53,40.3
11.87,23.37,23.2
25.12,3.08,63.8
24.36,10.47,56.6
27.22,14.29,56.0
25.14,8.1,53.0
23.74,13.69,46.3
21.68,16.81,47.6
16.04,12.11,42.0
19.02,16.89,42.6
15.11,10.68,45.7
