marker_00,marker_01,marker_02,marker_03,marker_04,marker_05,marker_06,marker_07,marker_08,marker_09,marker_10,marker_11,marker_12,marker_13,marker_14,marker_15,marker_16,marker_17,marker_18,marker_19,marker_20,marker_21,marker_22,marker_23,outcome
1.366,-0.298,0.637,1.06,-1.249,0.343,-1.806,0.304,-0.154,-0.052,0.362,-1.738,-0.413,-0.699,0.085,-0.175,1.072,-0.923,-0.354,-0.471,0.942,-0.282,0.996,-0.06,2.359
-0.665,-0.53,0.558,0.77,-0.151,0.474,-0.484,0.192,-1.741,-0.465,-0.967,-0.039,0.163,0.552,-0.257,1.073,-0.088,-0.453,-0.223,-0.726,-0.508,0.984,-1.442,-0.067,0.181
0.352,-0.236,-3.772,2.0,0.347,-0.267,0.09,0.266,0.877,-1.748,0.395,1.214,0.707,-0.279,0.605,-2.246,0.46,-0.783,-0.216,-0.63,0.401,-0.503,0.136,0.506,-0.868
0.903,1.816,0.261,1.081,-0.104,1.188,0.175,-1.366,0.962,0.156,0.892,1.115,0.387,0.721,0.361,-0.839,-1.036,-1.401,0.999,0.354,-1.065,-0.42,-0.884,0.771,0.463
0.094,-0.05,-0.025,1.284,-0.802,-0.349,0.092,-0.39,-0.443,-0.692,-0.513,0.409,0.342,0.15,-1.078,-1.258,-1.606,0.623,-0.384,0.485,1.514,-0.212,0.213,-0.097,1.456
-0.743,0.087,-0.147,-0.54,-0.868,-1.462,1.183,-0.956,-1.38,-0.132,1.978,-0.261,1.68,-0.59,-1.915,-0.275,0.776,-1.053,-0.015,-0.875,0.692,0.542,-2.018,-0.564,-1.202
-0.922,-1.487,-0.631,0.107,0.425,0.85,0.976,0.197,-0.647,0.671,-0.235,1.758,1.095,0.934,0.5,0.77,-0.529,-0.684,-0.735,0.206,-0.889,1.61,-0.979,-0.227,-0.152
-0.458,1.647,0.055,0.563,-1.03,1.851,-0.049,-0.544,0.948,0.82,-0.634,-1.672,-2.913,1.352,1.857,-0.546,-0.919,0.943,1.299,-0.382,0.348,1.321,-1.249,0.981,2.262
0.22,0.917,0.412,-0.018,0.646,-0.96,-0.47,-0.044,0.626,0.719,0.296,0.981,-0.363,-0.732,-0.821,-1.244,-1.105,0.865,-0.349,-1.193,1.343,1.274,0.91,0.774,-0.038
-1.01,1.067,-0.264,0.302,-1.524,-0.102,-0.346,-0.077,-0.3,2.255,-0.258,0.508,-1.577,0.512,-0.141,0.948,-1.045,-0.621,-0.647,1.692,-0.177,0.692,-2.24,-0.421,-2.071
-0.209,0.048,-0.463,0.426,-0.555,-0.685,-0.356,-0.036,0.897,1.165,-1.367,0.591,-0.689,0.157,1.354,-0.762,1.353,-1.308,-1.52,-0.968,-1.701,0.156,1.731,2.841,-0.462
-0.159,0.917,1.23,0.844,0.036,-0.381,-0.226,-0.035,-1.041,-0.746,-0.026,0.266,0.771,0.281,1.74,0.273,-0.923,-0.104,0.966,0.103,0.457,-0.867,-0.513,2.511,-0.342
0.541,0.371,-1.105,-0.102,-1.252,0.046,-1.573,-0.652,-0.613,-0.818,1.596,0.205,-0.201,-0.104,0.065,-0.665,-0.542,-1.598,-0.592,-1.165,1.847,-0.583,0.19,-1.052,-0.302
0.215,0.613,1.03,-0.35,0.652,-1.242,-0.461,-1.054,0.475,2.328,2.003,0.931,-0.428,-1.253,1.25,0.517,1.967,-1.01,-0.07,-0.431,-1.597,0.14,-2.548,1.03,1.839
0.355,-0.152,0.177,-0.828,-0.019,-0.278,-0.425,-0.664,-0.096,-0.663,-0.567,-1.153,1.317,1.41,0.751,-0.384,-0.432,-0.388,-0.41,0.091,1.025,1.707,-0.797,-0.996,0.355
-0.654,-1.474,-0.804,-0.892,-1.036,-1.466,-0.189,1.072,-0.589,-0.044,0.905,-1.247,-1.504,-1.044,-0.556,0.795,-0.006,-0.158,-0.187,0.161,-0.233,0.579,0.838,0.044,-0.219
-0.13,1.029,-0.29,1.172,-1.519,-0.568,-0.254,0.374,-2.512,1.745,0.133,0.162,-0.094,-0.871,-2.019,0.621,0.368,-0.555,-1.983,-1.024,-0.091,0.373,1.5,1.554,0.51
0.784,-1.935,-0.92,-0.085,-1.566,-1.186,0.672,0.587,0.671,1.715,0.284,0.052,0.549,0.656,-0.909,2.221,-0.296,-0.145,-0.785,-0.12,0.192,0.582,-0.991,0.774,0.474
1.493,-0.24,0.675,0.787,0.051,-1.059,-0.532,1.38,0.324,-0.055,1.267,0.164,0.024,0.18,0.369,-0.08,-0.688,1.382,-1.084,0.35,0.012,-1.34,1.133,-1.194,-1.329
-1.259,-0.205,0.348,-1.297,-1.157,-1.72,-0.439,-1.179,-1.743,0.242,0.852,1.59,-1.163,-0.796,0.419,-0.975,1.279,0.627,2.178,1.484,0.863,-0.66,0.175,0.518,0.178
1.514,-1.043,-0.557,-1.938,-1.365,1.219,0.542,0.51,0.6,-1.635,0.154,-0.579,-0.023,-0.658,-0.502,-1.161,0.32,1.379,1.347,0.798,-1.165,0.516,0.642,-2.453,1.159
1.346,0.613,-1.102,-1.049,-0.231,0.509,-0.235,-1.075,-0.014,-0.908,-0.929,0.751,0.808,-0.159,-0.858,-0.597,-0.629,0.896,0.438,1.073,-0.086,1.024,-0.212,-1.586,0.933
0.781,-0.2,0.302,1.147,2.278,-1.917,0.216,-0.334,0.279,-0.365,-1.124,0.384,0.357,-0.436,-1.6,0.375,-1.385,0.232,2.487,0.633,-0.936,-0.593,1.515,0.035,1.053
0.264,-0.437,0.957,1.068,0.278,-0.597,0.669,0.484,0.945,-0.006,-0.064,2.367,0.318,0.647,-1.68,-0.714,-1.158,-1.214,1.277,-0.667,-0.511,0.559,-1.708,-0.826,1.227
-0.314,0.52,-0.114,0.332,0.763,-0.67,0.422,1.614,-0.74,-0.323,0.324,-1.402,0.307,-1.164,-0.122,1.519,-1.025,-1.336,-1.345,-0.328,2.973,-1.882,0.642,1.577,1.268
1.458,-0.477,0.418,-0.802,0.213,-0.691,0.25,-0.782,0.714,0.152,0.503,-0.546,0.135,0.363,-1.575,0.2,-2.156,-0.021,-1.285,0.907,-0.846,0.504,1.538,0.133,-1.013
1.96,1.389,-0.376,-0.131,0.783,-1.447,-0.196,-0.095,0.684,2.193,0.782,-0.457,-1.241,1.531,-0.015,-0.977,1.174,-0.409,0.268,-0.687,0.449,1.428,0.769,1.278,0.028
1.802,0.351,0.068,-0.298,-1.343,0.754,0.682,1.156,0.762,0.464,0.98,1.321,-0.309,0.201,-0.798,-0.463,0.102,-0.935,-0.069,-1.121,0.306,-0.2,-0.287,0.118,-0.296
1.315,-0.474,-0.291,-0.345,-0.431,-0.396,0.176,-1.49,1.636,0.309,-2.403,-0.82,0.431,-0.888,-0.426,-0.638,0.537,0.41,0.211,-0.044,-1.92,-0.615,0.518,0.169,0.071
0.357,-1.944,0.294,-2.506,0.261,0.468,-0.505,0.362,0.659,0.002,0.903,1.658,-3.115,-0.723,2.125,0.178,-1.419,1.224,-0.825,-1.818,-1.147,2.675,0.261,0.173,0.512
-1.208,-1.308,-1.51,-0.858,-0.018,0.527,-0.151,-0.308,-0.562,-0.172,-1.047,1.598,0.757,0.044,0.048,-1.025,-0.485,-0.068,1.846,-0.782,-1.816,0.05,-0.275,1.967,-2.269
-0.004,1.087,0.644,-0.19,-0.192,1.375,-1.218,-0.882,1.798,1.233,1.114,0.866,0.337,-0.624,-0.344,1.282,-0.24,0.086,-0.351,-1.14,-0.153,1.384,1.07,1.618,0.667
0.656,-0.051,-0.23,1.516,-0.666,-1.815,-0.962,0.147,-1.107,-0.991,0.337,0.437,-1.084,1.235,-0.173,-0.356,0.076,-0.547,1.12,-0.412,-1.315,-0.649,1.343,-1.119,-1.252
-1.288,-0.283,0.359,0.161,-0.258,1.739,-1.883,0.595,-0.463,-0.126,0.631,-1.556,-0.746,-1.84,-1.474,-0.237,-0.206,-0.688,1.459,1.312,-0.897,-1.188,-1.361,-0.26,-1.509
0.395,1.643,-0.34,1.401,-0.774,1.269,-0.68,-0.912,-0.964,-1.096,-0.541,0.182,-0.204,1.639,1.339,0.923,-1.245,1.974,-0.585,2.319,-1.535,-1.529,1.858,1.686,-1.062
0.43,-1.283,0.32,-0.394,-2.422,0.573,1.336,0.38,-0.103,0.087,0.283,-1.431,0.413,-2.025,0.848,-0.748,1.092,-1.256,0.576,0.593,0.673,0.996,0.052,-1.506,-0.321
0.696,-0.586,-1.073,-0.253,-1.195,2.384,-0.556,0.173,1.082,0.119,-1.867,-0.363,-0.374,-0.041,-0.532,-0.001,0.71,-0.161,1.593,-0.961,0.597,-1.658,-0.171,1.839,0.6
-1.184,-0.473,1.189,-3.899,0.476,0.205,0.788,-1.242,1.298,0.921,1.095,0.203,1.167,-1.083,0.229,1.792,0.075,-0.447,1.458,0.731,1.486,-1.996,0.926,0.634,-2.531
-0.662,0.586,-1.704,0.463,1.557,0.821,-0.003,1.553,0.464,1.198,-0.331,-0.309,0.413,0.82,-0.672,0.411,1.032,-0.11,0.752,0.42,-0.176,-0.613,-0.767,-1.021,1.297
-0.436,-0.664,-1.039,0.547,1.814,-0.738,-0.701,1.09,-0.609,0.663,-2.589,0.951,-0.787,-0.774,0.396,0.294,1.208,1.046,0.44,-0.602,0.738,-0.388,0.468,-2.222,-1.14
-1.17,-0.613,0.236,1.764,0.097,1.134,1.338,-0.86,-0.554,1.622,1.061,-0.129,-0.471,-1.133,-1.343,-0.476,1.394,0.994,0.079,0.881,1.13,-0.275,-0.327,0.06,1.696
1.739,-1.605,1.463,-0.487,0.893,0.168,0.582,-0.587,-0.603,1.589,1.677,-1.549,0.228,-0.34,0.267,-0.994,0.163,-0.14,1.269,-0.484,2.092,-1.24,-0.035,1.743,-0.843
-0.496,0.729,0.278,0.094,0.908,-0.451,-1.752,0.771,0.953,0.315,-0.876,-1.06,0.728,-0.411,1.501,1.749,-0.315,1.123,0.583,-0.579,-1.25,-0.807,0.387,0.234,0.665
0.329,0.806,-0.248,-0.706,-0.692,2.117,1.041,-0.495,-0.907,0.373,1.213,-1.274,0.68,-1.935,0.446,-0.16,-0.48,-0.767,0.124,0.057,-0.81,0.057,0.021,0.554,0.701
-0.259,-0.476,-1.425,-1.176,-1.698,-0.305,-1.075,-1.84,0.865,-1.936,-0.75,-0.316,-0.098,0.455,-0.59,1.898,0.891,0.356,-0.473,0.685,-0.981,-1.933,-0.328,0.487,-0.336
1.583,0.163,-0.191,-0.713,0.031,0.009,-0.178,1.049,-0.033,0.32,-2.267,1.248,0.149,-2.393,0.95,-0.684,-0.701,1.78,-1.353,-0.368,-1.387,0.098,1.205,-0.246,-0.798
1.32,-1.293,-0.02,-0.345,-1.762,-0.197,0.668,0.009,0.172,-0.005,-0.358,0.506,-0.025,1.176,1.951,1.255,-0.914,-0.578,-0.174,0.355,0.714,0.606,0.574,0.397,0.06
0.633,-0.472,1.691,1.355,-0.32,-0.756,-0.3,1.907,1.512,-1.688,0.326,0.34,0.822,-0.33,0.731,-0.205,0.554,0.205,1.864,-1.829,0.728,1.373,0.499,-0.628,1.543
-2.204,1.378,0.622,0.002,0.608,0.531,1.119,0.357,-0.475,-0.431,0.134,-1.285,-0.986,0.953,0.097,0.417,0.523,1.499,-0.484,0.292,-1.398,0.456,0.885,-0.573,-0.023
0.052,0.136,-1.529,-0.791,-1.42,0.738,0.761,0.191,1.662,0.957,0.104,2.369,0.603,-0.601,-0.802,1.217,0.637,-0.842,-0.641,-0.478,-1.086,1.157,-2.089,-0.924,0.881
0.684,2.31,2.027,0.142,0.032,0.354,-1.577,2.875,-1.409,-1.239,0.296,-0.028,-1.852,-0.793,0.436,0.442,-0.849,0.064,-0.241,-0.523,0.314,0.301,0.909,-0.374,1.766
1.004,-0.787,-0.395,0.218,1.24,-2.361,-0.472,-0.172,-0.825,1.293,0.217,2.417,0.451,0.652,1.922,0.803,0.301,-0.315,-0.213,-2.526,-0.492,1.495,2.307,-0.375,0.888
-0.618,0.58,-0.879,-0.676,0.362,1.008,0.282,-0.952,-1.578,0.475,-0.216,-0.867,0.256,-0.584,-2.017,-1.563,0.915,-1.117,-0.559,-1.449,0.229,0.128,-1.034,0.187,-0.309
1.822,-0.196,1.475,1.143,0.522,-0.35,-0.575,0.229,-0.747,-0.228,-0.601,-0.568,-0.0,-1.548,0.977,-0.461,-0.48,0.404,0.643,-1.746,-0.169,2.087,2.518,-0.346,1.602
-1.32,0.566,-0.05,-1.888,0.907,-1.216,-0.216,1.136,0.583,-0.142,-0.266,2.6,-2.133,-0.087,0.148,2.045,-0.268,-0.844,0.326,0.605,1.06,0.6,-1.79,-1.657,0.169
-0.662,-0.007,-0.367,-0.214,1.733,0.603,0.8,-1.165,0.738,0.83,-0.352,-1.075,1.567,-1.377,1.513,-0.229,-0.298,1.656,1.183,-0.922,1.127,-0.557,-0.697,-1.106,1.113
0.935,-0.561,0.219,0.665,0.151,0.563,0.317,-0.908,0.307,-1.431,-0.303,0.419,0.898,-0.013,-0.128,0.319,1.519,0.021,0.602,0.273,-1.83,0.185,0.674,-0.268,0.852
0.049,-0.868,0.845,-1.338,1.23,-1.043,-0.921,0.45,0.267,2.041,-1.103,-0.338,0.025,1.379,-2.164,-0.163,0.901,-0.21,0.186,0.659,1.356,-1.742,-0.598,0.529,0.631
2.002,3.066,0.993,0.361,-0.064,2.472,0.175,-3.197,-1.173,-0.813,-0.543,-0.813,0.459,0.963,1.991,-0.622,-1.341,0.041,-2.103,-0.546,-0.482,1.211,-0.89,-0.289,1.813
0.189,-0.077,-1.375,1.293,-0.546,-1.21,-0.612,-1.093,-1.327,-0.765,0.082,2.161,-0.939,0.002,-1.159,-1.494,-1.521,0.103,0.197,-1.027,-1.134,-0.273,0.153,0.391,0.076
-0.633,-2.017,1.998,0.454,0.315,-1.733,-1.215,0.795,0.304,1.221,0.309,-1.004,0.512,-0.166,0.8,-1.142,0.65,-0.199,-0.653,1.211,0.603,1.233,0.437,-1.539,-1.338
-0.378,-0.649,0.947,-1.69,-0.606,-1.154,-1.13,-0.587,1.348,0.79,-0.064,0.897,1.56,-0.317,-0.128,1.683,-0.213,0.057,1.078,0.262,-0.98,2.209,0.874,1.189,-0.186
-1.091,0.678,-0.379,-0.728,-0.573,1.421,0.287,-1.626,-0.364,1.325,-0.184,1.104,-1.178,-0.638,-0.04,-0.079,0.533,-0.575,0.073,-1.233,-1.257,0.01,-0.272,-0.461,-0.337
-1.278,-0.5,-0.819,1.232,-0.608,-0.176,-0.028,1.926,-1.269,1.046,0.534,-1.012,2.693,0.355,0.138,-1.189,0.266,-0.499,-0.763,0.48,-0.345,0.038,-2.029,-0.806,0.617
0.63,1.36,-0.969,0.298,-2.295,-0.372,0.005,-1.411,-1.533,0.376,0.814,-1.897,-0.437,-0.158,-0.546,-0.904,1.01,0.527,-0.543,-0.664,1.361,-0.151,0.573,0.039,0.905
0.581,1.002,0.123,-0.01,0.105,-0.062,-1.146,-0.523,-0.681,-1.276,0.68,-1.781,0.827,-0.382,0.187,0.873,-1.626,-2.136,-1.201,0.465,-1.818,0.373,1.295,0.451,-0.268
1.295,-0.152,-0.648,0.441,-1.264,-0.597,-0.184,-0.373,1.58,-0.473,-1.75,-0.8,-0.826,0.27,0.308,-0.947,-0.548,-0.799,-0.548,0.826,-1.041,2.216,-0.461,-0.226,0.749
-0.755,-0.472,-0.765,0.721,-0.107,-0.69,-1.037,0.083,-0.208,0.198,-0.455,0.223,0.39,-2.018,0.802,-0.625,0.251,0.009,0.315,-0.817,-1.692,1.284,0.787,0.66,-0.6
1.689,-1.005,0.811,-0.708,1.45,-0.641,-0.926,-0.37,-1.038,-0.017,0.706,0.335,-1.274,1.956,0.125,-1.117,0.234,0.342,1.179,0.492,-1.205,0.241,-1.363,-1.766,0.182
-0.287,-0.7,0.365,-0.29,-0.521,0.708,-0.165,-0.081,-0.609,-2.053,0.515,-0.189,-0.659,0.63,0.319,-1.259,-0.948,-0.391,0.52,-3.011,-0.149,1.06,-0.722,-0.1,0.699
1.574,-1.473,-0.395,0.143,-0.542,1.02,-1.383,0.057,-0.484,1.044,0.68,-0.105,-0.229,-1.394,1.328,1.649,-0.527,0.136,0.81,0.547,-1.32,-2.058,-1.186,0.861,-0.415
-0.433,1.204,0.734,-0.544,1.364,-1.055,0.669,-0.087,0.266,1.731,0.314,0.974,-0.656,0.115,-0.902,-0.141,-0.586,-0.349,0.891,-1.96,0.31,0.124,0.096,0.48,0.891
-0.735,1.591,1.367,-0.133,0.546,0.239,2.487,0.093,-0.66,1.464,-0.854,0.768,-0.241,-1.129,0.07,-0.322,0.045,-1.861,-0.324,2.526,0.106,-2.83,-1.171,-0.284,-0.637
0.25,-1.256,-1.094,1.298,0.977,0.788,0.459,-2.379,-0.89,-1.018,1.223,0.379,0.976,-0.539,0.478,-0.601,0.701,0.94,1.453,0.354,0.722,1.124,1.656,0.325,0.532
1.031,-1.182,-0.603,-0.968,-0.355,-1.082,-1.043,0.441,-0.188,0.436,-1.36,-0.617,-1.277,-0.895,1.035,0.712,-0.275,0.268,-1.352,-0.614,1.92,-2.169,0.512,1.757,0.013
0.161,-1.769,0.943,1.927,0.748,-0.503,-0.271,-1.404,0.469,-2.126,0.986,0.778,-1.196,1.092,-0.064,0.061,-0.153,-0.957,0.123,1.133,-0.988,0.548,0.044,-1.129,-0.598
-0.586,-0.964,0.719,1.879,-0.686,-1.038,-1.555,-2.167,0.717,1.69,-0.016,0.181,0.047,-1.921,0.099,0.292,-2.094,1.475,-0.526,-0.784,-0.481,-0.903,0.716,0.262,-0.864
-1.341,-3.106,0.227,-1.713,-0.676,-1.291,-0.378,1.381,0.551,-1.94,-1.473,-0.748,-0.564,-0.354,-0.345,0.137,-1.061,0.677,-1.965,0.119,-0.604,2.559,1.277,0.126,0.309
-1.402,-1.142,1.162,-0.141,0.596,0.102,0.507,-1.286,-0.457,0.411,-0.396,-0.577,-1.004,-1.649,1.24,-0.357,1.853,-0.626,1.659,-0.285,-0.452,-1.265,0.389,0.698,-2.258
0.503,1.297,-1.088,0.343,-0.598,-0.736,0.589,0.18,-1.695,1.163,1.204,1.229,0.132,-0.02,-0.321,-0.481,-1.715,1.107,-1.998,0.001,0.403,-0.329,-0.837,-1.141,0.319
0.99,-0.346,-1.479,-0.761,0.767,0.631,-1.032,-0.773,-0.799,1.291,-0.588,1.845,-0.564,-0.318,0.685,-1.735,1.364,0.539,0.689,-0.56,0.6,1.693,0.087,1.602,-0.248
-0.164,0.855,-0.867,-0.741,2.392,-0.029,0.299,-0.678,0.284,0.344,-1.211,-0.53,0.336,-1.407,-0.102,-0.492,-0.298,0.829,1.793,0.438,-0.506,0.444,-0.436,0.872,-0.573
-1.074,-0.489,0.123,-0.237,-1.686,0.413,1.156,0.484,-1.334,-1.426,-0.289,-2.078,-0.04,1.44,0.031,2.164,-1.963,-0.602,-0.203,-0.74,1.332,0.207,0.539,2.319,1.394
0.873,1.761,-0.796,0.739,-0.752,-0.292,1.755,-1.048,0.253,-0.101,-0.818,0.587,-0.201,1.563,-1.223,-1.239,1.458,-0.557,-0.115,0.113,-0.272,-0.23,-0.387,0.081,-0.352
-1.28,0.199,-0.487,-0.511,1.12,-0.635,-0.701,0.373,-0.59,-0.268,-1.251,-0.903,-0.068,-0.564,0.057,0.004,1.284,-0.822,-1.899,0.628,-0.116,0.095,0.071,-0.602,-1.249
-0.713,-0.382,-0.975,1.827,-0.145,-0.091,-0.864,0.381,-0.582,0.368,0.438,0.732,1.023,0.522,-0.03,0.336,-0.503,-0.541,-0.25,-0.596,-0.89,-0.75,1.05,-1.797,-1.832
0.621,2.552,-0.62,0.29,1.161,-0.005,0.054,1.164,1.12,0.988,0.798,-0.376,1.314,-0.149,-1.484,1.194,0.867,-2.313,1.451,0.836,0.668,-0.166,-0.799,-0.472,-1.622
-2.25,-0.324,-1.005,-0.103,-1.01,-0.706,-2.928,-0.336,0.219,0.662,-0.552,2.23,-0.16,0.243,-0.74,2.658,-0.356,1.084,-0.522,0.486,0.746,-0.044,-0.148,-1.269,-1.141
0.386,-1.221,0.367,1.449,0.331,0.427,-0.531,1.047,1.37,2.122,0.524,0.112,-1.03,1.532,-0.454,-0.397,0.051,-1.18,-0.974,-0.296,0.003,0.731,-0.233,-2.011,-0.531
-0.582,0.202,0.795,0.626,-0.151,0.747,-0.271,1.721,-0.939,0.661,-0.387,0.903,-1.511,-0.269,-1.529,-0.877,0.166,0.57,-2.316,-0.514,-2.153,0.081,-0.61,-0.866,0.458
0.109,-0.039,-0.48,0.369,0.14,0.158,-0.459,1.587,1.131,-0.389,-0.1,-1.215,-2.234,1.792,-1.217,1.06,-0.231,-1.298,1.286,-0.049,-0.244,0.847,2.559,-0.262,0.246
-0.076,1.066,-0.207,-0.331,0.331,1.713,-1.584,0.586,0.909,1.63,0.123,-2.819,-1.176,-0.288,1.47,0.213,0.524,0.117,0.412,-0.453,0.593,-1.487,1.169,-0.167,-0.94
0.202,-0.922,-0.581,1.814,-1.22,-0.632,-0.246,0.449,-2.995,-0.315,1.493,0.135,-0.852,-0.094,-1.03,2.006,0.386,-1.192,-0.302,-0.514,-0.417,1.411,-0.659,2.585,1.549
0.694,0.805,0.531,0.812,-1.074,0.521,-0.777,2.849,-0.088,0.282,0.508,0.262,-0.053,1.889,-0.857,0.725,-0.523,-0.02,1.043,-0.133,-0.097,0.458,-0.642,1.559,1.377
-0.758,0.853,0.089,-0.203,1.399,-0.409,0.757,2.232,1.542,0.181,-0.999,0.72,-1.881,0.275,-1.396,-0.669,0.296,-1.6,-0.531,-0.212,0.513,1.64,0.341,0.196,-0.284
1.421,-0.668,1.594,-1.577,0.293,0.235,-0.918,-0.767,0.778,-2.293,0.516,-0.554,1.43,-2.032,1.227,-0.197,-0.521,-0.592,-0.334,0.107,-1.819,0.532,1.267,0.721,1.352
0.726,0.163,-1.095,0.373,0.106,-0.83,-0.282,0.924,-0.441,0.277,-0.221,-1.292,1.064,0.225,0.918,0.423,0.134,0.66,2.124,1.42,0.795,-0.102,-0.102,-0.377,2.003
0.844,-0.831,0.363,-1.144,-0.044,1.115,-0.233,0.602,-0.233,0.289,-0.466,-1.6,1.245,-1.282,0.318,0.501,-0.497,0.214,-0.896,0.912,-1.894,0.141,0.852,-0.414,0.731
1.165,2.346,0.444,-1.716,0.357,0.176,0.568,0.072,-1.303,-0.21,-0.84,0.553,-0.513,-1.663,0.084,-1.134,0.097,0.171,0.29,0.85,0.096,-1.154,-1.747,0.499,-0.081
0.788,-0.704,-0.36,-0.279,-1.156,1.192,-2.546,0.153,0.206,-0.141,-0.026,0.71,0.244,-0.943,-0.492,-1.924,1.601,-0.858,0.224,0.517,0.575,-0.226,0.404,-0.111,0.432
